letter,p_wiki,p_google,p_war_peace
A,0.0817,0.082,0.0813
B,0.0149,0.0168,0.0137
C,0.0278,0.0383,0.0241
D,0.0425,0.0362,0.0469
E,0.127,0.1176,0.1246
F,0.0223,0.0206,0.0217
G,0.0202,0.0212,0.0203
H,0.0609,0.0358,0.0663
I,0.0697,0.0752,0.0687
J,0.0015,0.0026,0.001
K,0.0077,0.0082,0.0081
L,0.0403,0.044,0.0382
M,0.0241,0.0283,0.0244
N,0.0675,0.07,0.0729
O,0.0751,0.0767,0.0762
P,0.0193,0.0261,0.0178
Q,0.001,0.0014,9e-04
R,0.0599,0.0679,0.0585
S,0.0633,0.0697,0.0645
T,0.0906,0.0833,0.0893
U,0.0276,0.0293,0.0258
V,0.0098,0.0116,0.0107
W,0.0236,0.0149,0.0235
X,0.0015,0.0031,0.0016
Y,0.0197,0.0178,0.0183
Z,7e-04,0.0014,9e-04
